Age,Salary,Experience,Department
41,75,9,Sales
35,129,9,IT
31,110,8,Sales
25,122,8,Sales
29,98,7,IT
40,112,8,IT
34,159,7,Sales
32,123,6,HR
39,134,8,Sales
43,88,6,Sales
37,180,8,Sales
37,166,7,Sales
45,154,10,IT
36,141,8,Sales
33,120,2,HR
40,131,6,IT
33,146,6,HR
32,104,6,HR
44,109,9,HR
33,78,7,HR
16,101,6,IT
37,162,8,IT
32,112,6,HR
33,112,3,HR
38,128,5,IT
34,80,8,IT
37,144,10,IT
21,152,7,Sales
28,129,4,Sales
45,161,8,Sales
35,87,7,HR
23,166,9,Sales
27,102,6,HR
28,88,9,HR
36,114,8,Sales
32,167,9,HR
30,120,8,Sales
35,97,7,Sales
38,88,6,IT
33,117,6,Sales
31,70,9,IT
32,87,8,Sales
37,159,7,Sales
35,153,6,IT
40,117,5,IT
27,108,8,Sales
30,121,8,HR
40,179,8,IT
29,130,6,HR
45,143,5,HR
45,115,8,HR
45,122,12,IT
29,136,8,HR
36,123,8,IT
32,73,6,HR
41,152,10,Sales
47,105,9,Sales
41,173,5,IT
35,137,7,Sales
32,122,7,Sales
40,131,10,HR
26,117,2,IT
39,108,8,HR
29,125,6,HR
39,142,6,HR
34,108,8,HR
32,104,8,HR
29,111,5,HR
33,144,11,HR
39,156,7,IT
42,129,8,Sales
39,135,7,HR
45,104,7,HR
53,142,9,HR
33,134,4,HR
34,102,6,HR
25,75,5,HR
43,89,4,Sales
44,103,9,Sales
29,149,6,HR
39,159,9,Sales
44,109,11,IT
37,110,9,HR
41,127,7,IT
36,120,6,IT
26,143,6,HR
42,107,7,Sales
44,144,6,IT
40,114,13,HR
28,141,5,IT
30,113,5,IT
27,105,1,IT
40,168,10,IT
44,147,7,Sales
38,75,8,IT
42,109,10,IT
29,150,4,IT
36,90,7,Sales
25,139,8,IT
30,137,1,IT
41,103,7,Sales
33,120,5,Sales
43,68,8,Sales
39,164,8,IT
54,112,9,Sales
36,140,6,Sales
25,135,3,IT
35,154,6,Sales
28,109,6,IT
42,125,10,HR
35,134,9,Sales
34,142,8,HR
34,149,5,IT
40,108,8,Sales
32,103,11,IT
40,154,10,HR
42,69,8,IT
33,159,10,Sales
29,112,5,Sales
31,120,5,HR
40,103,11,IT
36,119,5,Sales
39,152,4,HR
47,139,11,Sales
37,132,7,Sales
29,122,6,IT
42,84,8,Sales
35,99,7,IT
41,111,7,Sales
42,131,7,HR
28,122,5,Sales
45,145,8,IT
41,132,7,IT
31,121,5,HR
37,177,2,Sales
37,130,9,Sales
35,109,8,HR
41,166,8,Sales
45,150,9,Sales
35,165,8,IT
44,117,7,Sales
42,144,7,Sales
37,84,8,HR
36,140,8,HR
27,116,9,IT
24,86,8,Sales
36,146,9,Sales
29,75,4,Sales
35,72,6,IT
31,129,4,IT
